file_size,file_entropy,num_strings,mean_section_entropy,max_section_entropy,num_imports,suspicious_imports,crypto_api_detected,label
4405080,7.978996714655323,51116,4.280060058559463,6.4174599871908855,164.0,0.0,0.0,0
913664,7.935294267466843,10483,4.5798770380049,7.216076133259911,164.0,0.0,0.0,0
25446,5.320018297131351,293,,,,,,0
6359232,7.988483014140291,75082,4.279728171963237,6.4378696011937135,162.0,0.0,0.0,0
1392480,7.961614793707101,16440,4.587118132062105,7.866475144296684,171.0,0.0,0.0,0
208494592,7.996196706760069,2369479,4.660605157410394,6.748278735648908,237.0,1.0,1.0,0
25594,5.322126179648342,293,,,,,,0
122672,4.930053207532837,2792,,,,,,0
284275840,7.998912111381077,3306163,4.658614276270413,6.748278735648908,237.0,1.0,1.0,0
6661840,7.989391992750207,78093,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
6541144,7.98891580910858,77370,4.27972813107049,6.4378696011937135,162.0,0.0,0.0,0
25451,5.320458035312935,293,,,,,,0
25581,5.329587944392557,293,,,,,,0
287421056,7.998913581181362,3342931,4.660562667373072,6.748278735648908,237.0,1.0,1.0,0
4766752,7.981430083800899,55777,4.280056838525944,6.4174599871908855,164.0,0.0,0.0,0
4691480,7.9808950039863085,54926,4.280058619944105,6.4174599871908855,164.0,0.0,0.0,0
405948616,7.998838606225224,4714587,4.660025661535091,6.748278735648908,237.0,1.0,1.0,0
320646304,7.999929988566953,3824602,3.2113995889398623,6.357635049994181,142.0,1.0,0.0,0
4662072,7.980756087008145,54872,4.280055294906062,6.4174599871908855,164.0,0.0,0.0,0
6283792,7.988240063670885,73727,4.279724916830299,6.4378696011937135,162.0,0.0,0.0,0
6371448,7.988541394884166,74592,4.2797303582396236,6.4378696011937135,162.0,0.0,0.0,0
284098168,7.997055270375452,3256162,4.660489490170843,6.748278735648908,237.0,1.0,1.0,0
4691928,7.981066903363457,54765,4.280059104210972,6.4174599871908855,164.0,0.0,0.0,0
4832328,7.981888616850151,56851,4.279717036071612,6.4378696011937135,162.0,0.0,0.0,0
1783200,7.955817712928208,20474,2.9938299416599294,6.3752135040515485,122.0,1.0,0.0,0
282922568,7.997003629959673,3239571,4.659280091547128,6.748278735648908,237.0,1.0,1.0,0
4704376,7.980979172263416,54905,4.280060038909417,6.4174599871908855,164.0,0.0,0.0,0
6493888,7.988921756528482,76523,4.279725401097165,6.4378696011937135,162.0,0.0,0.0,0
10705448,7.998125451361719,126951,2.919342450828716,6.3752135040515485,122.0,1.0,0.0,0
275096392,7.998914328336695,3198719,4.6579754934589594,6.748278735648908,237.0,1.0,1.0,0
25585,5.3284052965981035,293,,,,,,0
4840120,7.981945337277555,56461,4.280059104210972,6.4174599871908855,164.0,0.0,0.0,0
401598880,7.998856935249277,4665588,4.660562432877882,6.748278735648908,237.0,1.0,1.0,0
4844824,7.981889589353985,56876,4.2800571470020445,6.4174599871908855,164.0,0.0,0.0,0
25534,5.327635969481513,293,,,,,,0
6651952,7.989251643735899,78011,4.279725401097165,6.4378696011937135,162.0,0.0,0.0,0
6459184,7.988732157002397,76005,4.279724916830299,6.4378696011937135,162.0,0.0,0.0,0
397573624,7.9968758804566455,4549109,4.6591973752482305,6.748278735648908,237.0,1.0,1.0,0
4522448,7.979683536825978,52662,4.280059104210972,6.4174599871908855,164.0,0.0,0.0,0
6824080,7.989711533359945,79810,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
6494160,7.988904570401263,76375,4.279722274254895,6.4378696011937135,162.0,0.0,0.0,0
6637056,7.989394973427714,77876,4.2797046854309135,6.4378696011937135,162.0,0.0,0.0,0
279761984,7.997061114767127,3209913,4.659853199240165,6.748278735648908,237.0,1.0,1.0,0
121651,4.923373021999301,2794,,,,,,0
25882,5.333942527753308,293,,,,,,0
40378368,7.998554228932415,468880,4.659132666657052,6.748278735648908,237.0,1.0,1.0,0
122092,4.923598589335524,2794,,,,,,0
4695112,7.981026200710292,54830,4.279719218669259,6.4378696011937135,162.0,0.0,0.0,0
270674144,7.996991537445709,3100973,4.660613001081512,6.748278735648908,237.0,1.0,1.0,0
6317248,7.988390951124653,74243,4.279725401097165,6.4378696011937135,162.0,0.0,0.0,0
4471968,7.979437435190939,52264,4.280057803859329,6.4174599871908855,164.0,0.0,0.0,0
6703352,7.989535182918511,78775,4.2797303582396236,6.4378696011937135,162.0,0.0,0.0,0
6496448,7.988895741289266,76175,4.279723443888236,6.4378696011937135,162.0,0.0,0.0,0
397572600,7.996876113766258,4548750,4.6605821264525344,6.748278735648908,237.0,1.0,1.0,0
6490760,7.988854959706848,76466,4.279728543314696,6.4378696011937135,162.0,0.0,0.0,0
25864,5.328162089914655,293,,,,,,0
401311192,7.998853882032231,4659417,4.659287101447621,6.748278735648908,237.0,1.0,1.0,0
284430936,7.997038897376267,3259461,4.661148574611496,6.748278735648908,237.0,1.0,1.0,0
4840624,7.981974555413039,56837,4.279717407423071,6.4378696011937135,162.0,0.0,0.0,0
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
4642656,7.980631750745735,53898,4.280057803859329,6.4174599871908855,164.0,0.0,0.0,0
4319256,7.978111012152741,50552,4.280054125272721,6.4174599871908855,164.0,0.0,0.0,0
401309856,7.998853696864748,4659676,4.660032504925066,6.748278735648908,237.0,1.0,1.0,0
282985168,7.997041266629836,3243370,4.6599574149556275,6.748278735648908,237.0,1.0,1.0,0
320646304,7.999929988566953,3824602,3.2113995889398623,6.357635049994181,142.0,1.0,0.0,0
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
4843360,7.9819796632394855,56688,4.280058619944105,6.4174599871908855,164.0,0.0,0.0,0
6317448,7.988274127549998,74010,4.279728543314696,6.4378696011937135,162.0,0.0,0.0,0
4854296,7.982054652132125,56665,4.279719279169099,6.4378696011937135,162.0,0.0,0.0,0
29475,4.731302269470466,498,,,,,,0
318560,7.716830061810912,3483,4.578008432488103,7.275409899784315,165.0,0.0,0.0,0
401597584,7.998854345074464,4665533,4.660656796964621,6.748278735648908,237.0,1.0,1.0,0
6319720,7.988365190758356,74154,4.279723443888236,6.4378696011937135,162.0,0.0,0.0,0
6501480,7.988874295451859,76373,4.279730373682603,6.4378696011937135,162.0,0.0,0.0,0
919904,7.931449889346531,10401,4.5491455265709515,7.1812709129580945,164.0,0.0,0.0,0
44420344,7.999873560676052,529350,3.808168126454676,7.1304183393172496,165.0,0.0,0.0,0
6652296,7.9892701933086645,78293,4.279723443888236,6.4378696011937135,162.0,0.0,0.0,0
270674184,7.997003765956399,3101155,4.659879191327398,6.748278735648908,237.0,1.0,1.0,0
122293,4.925682009199025,2794,,,,,,0
12199296,7.976975097156821,150992,3.4839281916384066,6.709466460182023,146.0,1.0,0.0,0
284095432,7.997075906534905,3256693,4.660572133084745,6.748278735648908,237.0,1.0,1.0,0
2985268,7.992084808945537,35315,4.737343558387253,7.0302403868388526,110.0,0.0,0.0,0
4558872,7.9801298353226935,53119,4.280056838525944,6.4174599871908855,164.0,0.0,0.0,0
6211440,7.988058166246434,72643,4.27972813107049,6.4378696011937135,162.0,0.0,0.0,0
8170320,7.740183695238425,91574,5.690447861748674,6.65376315053753,89.0,1.0,0.0,0
275096880,7.9989168842922265,3198548,4.661244622597874,6.748278735648908,237.0,1.0,1.0,0
2700800,7.991358303230839,31838,4.6330704156819476,7.8762855010283355,171.0,0.0,0.0,0
4682400,7.980868687943465,54973,4.279717407423071,6.4378696011937135,162.0,0.0,0.0,0
25382,5.3211767144060325,293,,,,,,0
4850760,7.982005177188576,56371,4.279719218669259,6.4378696011937135,162.0,0.0,0.0,0
4729136,7.981012393085185,54916,4.280060058559463,6.4174599871908855,164.0,0.0,0.0,0
405949816,7.998839609341007,4714682,4.657732443115534,6.748278735648908,237.0,1.0,1.0,0
6390144,7.988526818185753,74912,4.27972813107049,6.4378696011937135,162.0,0.0,0.0,0
279761792,7.997061417992281,3208188,4.659039093835691,6.748278735648908,237.0,1.0,1.0,0
25480,5.324851621233349,293,,,,,,0
284275216,7.998912654857007,3305589,4.659359682023819,6.748278735648908,237.0,1.0,1.0,0
6326640,7.988361036705919,74514,4.279730373682603,6.4378696011937135,162.0,0.0,0.0,0
1589510,7.99617273831884,18704,3.899129249936485,6.591966668904185,77.0,0.0,0.0,0
6824080,7.989711533359945,79810,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
11224056,7.998304051892212,133578,2.9193690804857866,6.3752135040515485,122.0,1.0,0.0,0
4796432,7.981636241524827,55977,4.280057803859329,6.4174599871908855,164.0,0.0,0.0,0
397319752,7.996837932381694,4542768,4.659874986163302,6.748278735648908,237.0,1.0,1.0,0
25863,5.3405117802288835,293,,,,,,0
4652152,7.98064080220393,54350,4.280054125272721,6.4174599871908855,164.0,0.0,0.0,0
16959640,7.980776571500403,206201,3.607215411760791,6.712594833813409,146.0,1.0,0.0,0
6661840,7.989391992750207,78093,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
288667648,7.998908543773345,3354751,4.660004015728485,6.748278735648908,237.0,1.0,1.0,0
25662,5.325928585335143,293,,,,,,0
6650624,7.989399939414043,77406,4.279722274254895,6.4378696011937135,162.0,0.0,0.0,0
2731790,7.9878474653386355,32077,4.846321959627192,6.656310629273776,110.0,0.0,0.0,0
400859472,7.996896204580261,4587751,4.657018053511725,6.748278735648908,237.0,1.0,1.0,0
25570,5.340725158107509,293,,,,,,0
4683224,7.980990969934238,54390,4.2800571470020445,6.4174599871908855,164.0,0.0,0.0,0
122204,4.924222143392348,2794,,,,,,0
122385,4.930468333647011,2797,,,,,,0
4521352,7.9798043287683775,52388,4.280058619944105,6.4174599871908855,164.0,0.0,0.0,0
284428680,7.997019392231537,3256272,4.660580200815801,6.748278735648908,237.0,1.0,1.0,0
287456352,7.998913018103903,3343693,4.6584846441653545,6.748278735648908,237.0,1.0,1.0,0
406183416,7.998846056644846,4716848,4.659253988421032,6.748278735648908,237.0,1.0,1.0,0
9230616,7.997583366862052,109533,2.9187498361992574,6.3752135040515485,122.0,1.0,0.0,0
655728,7.8961222966162845,7440,4.584406073885681,7.238721312663817,164.0,0.0,0.0,0
6808184,7.98971306867737,79870,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4816456,7.981795124461489,55731,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
6824080,7.989711533359945,79810,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
123098,4.9312836200325165,2795,,,,,,0
288668408,7.9989098319350385,3354657,4.659663920032966,6.748278735648908,237.0,1.0,1.0,0
25267,5.315842047191837,293,,,,,,0
4572328,7.980175474831687,53317,4.280060058559463,6.4174599871908855,164.0,0.0,0.0,0
2072576,7.931221793615672,23244,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4381176,7.978829487298547,50842,4.280060038909417,6.4174599871908855,164.0,0.0,0.0,0
3036304,7.9817525231282005,36351,4.138478386101841,6.46079318722629,117.0,0.0,0.0,0
400858256,7.996900683161192,4588852,4.659299575716588,6.748278735648908,237.0,1.0,1.0,0
4497336,7.979668353548597,52591,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
1489936,7.972916637054655,17473,4.58514349121112,7.272977969027989,166.0,0.0,0.0,0
275100840,7.99890525280118,3198625,4.659359492585696,6.748278735648908,237.0,1.0,1.0,0
11224968,7.998299693703367,133550,2.9193544770659785,6.3752135040515485,122.0,1.0,0.0,0
4514072,7.979611271023724,52322,4.2800571470020445,6.4174599871908855,164.0,0.0,0.0,0
433328,7.776416325728238,4689,4.586861767210128,7.866475144296684,171.0,0.0,0.0,0
282915944,7.99702214394721,3239551,4.660499507009491,6.748278735648908,237.0,1.0,1.0,0
6317888,7.988333990132027,74197,4.279722274254895,6.4378696011937135,162.0,0.0,0.0,0
6490352,7.988860493479721,75637,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
288243088,7.9989178371853535,3348376,4.6566463507061995,6.748278735648908,237.0,1.0,1.0,0
6659856,7.989291504307191,78444,4.279730373682603,6.4378696011937135,162.0,0.0,0.0,0
287457208,7.998913669264627,3343381,4.659692365687907,6.748278735648908,237.0,1.0,1.0,0
4504688,7.979591348284468,52002,4.279719218669259,6.4378696011937135,162.0,0.0,0.0,0
400954408,7.996896010305019,4589511,4.661143953057451,6.748278735648908,237.0,1.0,1.0,0
6661560,7.989321616859142,78240,4.279730395410678,6.4378696011937135,162.0,0.0,0.0,0
287420248,7.9989140713661095,3342979,4.655745623076645,6.748278735648908,237.0,1.0,1.0,0
25487,5.323159207620864,293,,,,,,0
6695632,7.9893670379238575,78361,4.279728171963237,6.4378696011937135,162.0,0.0,0.0,0
6616496,7.989146941886704,77721,4.279724916830299,6.4378696011937135,162.0,0.0,0.0,0
6649056,7.989284753269332,78518,4.279728543314696,6.4378696011937135,162.0,0.0,0.0,0
6484488,7.98889106424904,76471,4.2797046854309135,6.4378696011937135,162.0,0.0,0.0,0
4670120,7.980845840020637,54553,4.280038388544722,6.4174599871908855,164.0,0.0,0.0,0
4414224,7.979023478655954,51527,4.280056838525944,6.4174599871908855,164.0,0.0,0.0,0
4652656,7.9807106936678895,54453,4.279717036071612,6.4378696011937135,162.0,0.0,0.0,0
270632208,7.996996633575576,3101087,4.659284636006345,6.748278735648908,237.0,1.0,1.0,0
288241952,7.998921219184005,3346376,4.6606469153060095,6.748278735648908,237.0,1.0,1.0,0
6533408,7.9888678062897185,76504,4.279728171963237,6.4378696011937135,162.0,0.0,0.0,0
406182128,7.998846138994645,4717151,4.661301477507771,6.748278735648908,237.0,1.0,1.0,0
4985152,7.982823315924533,58428,4.279717036071612,6.4378696011937135,162.0,0.0,0.0,0
6661840,7.989391992750207,78093,4.279724881251898,6.4378696011937135,162.0,0.0,0.0,0
4701256,7.981065092934429,54572,4.279719279169099,6.4378696011937135,162.0,0.0,0.0,0
4661096,7.980758914758303,54333,4.28005725211499,6.4174599871908855,164.0,0.0,0.0,0
397318208,7.996852749343521,4543884,4.655291974984999,6.748278735648908,237.0,1.0,1.0,0
270630992,7.997025900203159,3102431,4.657899782310679,6.748278735648908,237.0,1.0,1.0,0
6501208,7.98895749195165,76762,4.279730395410678,6.4378696011937135,162.0,0.0,0.0,0
4550160,7.980071329827155,53360,4.280060038909417,6.4174599871908855,164.0,0.0,0.0,0
2879229,7.980024236785749,33275,4.373533382455509,6.410429855952268,110.0,0.0,0.0,0
282975480,7.997025528587375,3240570,4.659874749359543,6.748278735648908,237.0,1.0,1.0,0
25777,5.330494193122139,293,,,,,,0
25761,5.32561129586666,293,,,,,,0
4327544,7.978322445224092,50561,4.280055294906062,6.4174599871908855,164.0,0.0,0.0,0
4448528,7.97930849353294,51539,4.280054125272721,6.4174599871908855,164.0,0.0,0.0,0
6646576,7.989294684199547,78149,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4453472,7.9792182780038665,51309,4.280055294906062,6.4174599871908855,164.0,0.0,0.0,0
15528616,7.977720452679336,189387,3.6072164413011434,6.712594833813409,146.0,1.0,0.0,0
257679360,7.998927321711015,2996800,4.657203515899872,6.748278735648908,237.0,1.0,1.0,0
6325496,7.9883658210177,73836,4.279730395410678,6.4378696011937135,162.0,0.0,0.0,0
4470392,7.9793710534625415,52170,4.28005725211499,6.4174599871908855,164.0,0.0,0.0,0
678824,7.919017885421965,7799,4.632801582719959,7.8762855010283355,171.0,0.0,0.0,0
1589510,7.99617273831884,18704,3.899129249936485,6.591966668904185,77.0,0.0,0.0,0
400964920,7.996893386969658,4587243,4.658376722652978,6.748278735648908,237.0,1.0,1.0,0
4508288,7.979815844896169,52295,4.279719279169099,6.4378696011937135,162.0,0.0,0.0,0
6473496,7.988830273288147,75733,4.279704649852514,6.4378696011937135,162.0,0.0,0.0,0
4310120,7.977996515020989,50095,4.28005725211499,6.4174599871908855,164.0,0.0,0.0,0
4491072,7.979587502920497,52233,4.279717407423071,6.4378696011937135,162.0,0.0,0.0,0
6309832,7.988298687327001,74138,4.2797046854309135,6.4378696011937135,162.0,0.0,0.0,0
6542376,7.988958742370629,76307,4.2797303582396236,6.4378696011937135,162.0,0.0,0.0,0
556032,7.517412043076507,6115,4.901664223386432,7.534263344486067,1.0,0.0,0.0,1
